#{"t_start": 1669489949.0932534, "env_id": null}
r,l,t
-10.228571,2,54.986625
-11.669048,50,55.347825
-10.828571,4,55.382127
-12.654762,50,55.743343
-10.940476,50,56.087576
3.185714,43,56.398971
-11.07381,4,56.416324
-11.019048,4,56.433722
11.452381,35,56.665829
-11.992857,50,57.026593
43.32381,7,57.082015
-10.738095,3,57.103189
-10.0,1,57.110473
23.321429,24,57.281023
-11.45,6,57.312753
-11.192857,50,57.673891
-1.919048,47,58.013547
13.366667,33,58.254128
-13.328571,27,58.440883
-17.921429,46,58.75759
45.37381,5,58.798844
-10.0,1,58.806048
-11.111905,4,58.834435
-14.611905,50,59.15204
-13.004762,18,59.268757
-13.440476,16,59.343229
-10.72619,3,59.364362
-10.0,1,59.377205
-12.97381,50,59.733503
-12.342857,10,59.80454
-11.614286,50,60.153296
-15.290476,32,60.369328
-16.245238,47,60.675869
-13.659524,12,60.738908
28.547619,20,60.887163
-13.716667,21,61.025599
-11.507143,6,61.074231
-10.0,1,61.081358
27.378571,21,61.231006
-15.530952,44,61.549834
-10.097619,50,61.910605
-11.02381,50,62.271603
-14.97381,30,62.485199
-18.469048,48,62.82851
-13.671429,15,62.896551
5.707143,38,63.134947
20.478571,27,63.31623
-11.169048,4,63.34501
-16.954762,50,63.68035
-10.402381,2,63.694601
-14.616667,22,63.835342
-13.27619,50,64.159946
-11.954762,50,64.517974
-10.2,2,64.532047
-13.071429,50,64.867335
-14.295238,22,64.996138
28.145238,19,67.068187
-10.0,1,67.081038
-17.119048,49,67.419853
-11.42381,50,67.777293
-13.128571,50,68.117813
-13.978571,28,68.306371
-11.128571,50,68.662251
28.119048,21,68.818085
-11.364286,50,69.176155
-10.0,1,69.183395
-14.071429,50,69.507364
-10.978571,50,69.870459
-13.288095,50,70.205917
-10.0,1,70.207428
-11.069048,50,70.552975
-10.947619,50,70.916184
9.604762,36,71.180736
-10.047619,50,71.544671
-11.442857,50,71.908714
-11.12619,50,72.272319
-13.259524,50,72.630691
-11.335714,50,72.983243
-13.17619,50,73.335197
-13.428571,50,73.676553
-10.87381,3,73.680943
-12.802381,50,74.044626
-11.090476,50,74.378199
-14.02619,50,74.683499
-11.711905,50,75.043673
25.547619,22,75.199653
-15.052381,41,75.490097
-10.854762,4,75.518797
-14.911905,32,75.745414
29.297619,20,75.892904
-12.285714,14,75.992419
-13.92619,15,76.082135
24.671429,23,76.251615
-11.854762,50,76.606837
-13.754762,29,76.80716
-11.866667,50,77.167657
-13.935714,50,77.528614
-11.485714,50,77.883322
-12.57619,12,77.940322
-11.635714,50,78.28954
-10.0,1,78.302409
-16.478571,40,78.558
-12.678571,50,78.917251
-10.0,1,78.92444
-15.828571,45,79.238652
-9.02619,50,79.596976
-11.195238,50,79.96049
22.302381,26,80.150274
-13.697619,28,80.348786
-10.390476,2,80.36305
-10.866667,50,80.711502
42.138095,8,80.768134
-11.578571,50,81.111277
-17.054762,46,83.389086
33.578571,15,83.502344
41.161905,9,83.572277
-11.245238,50,83.935139
47.85,3,83.96207
-10.0,1,83.969272
-11.4,50,84.325513
-11.607143,50,84.683981
-10.188095,50,85.045224
-10.380952,2,85.048165
20.040476,27,85.246997
-10.585714,3,85.267986
43.340476,7,85.32388
-10.347619,2,85.337972
-11.592857,50,85.690456
20.861905,28,85.895252
34.735714,15,86.008268
26.802381,21,86.164514
-10.55,50,86.503571
26.397619,22,86.665407
-14.478571,50,87.006309
20.030952,28,87.211197
-11.395238,50,87.56199
-14.869048,48,87.909082
-9.771429,50,88.27012
-10.0,1,88.271763
-10.0,1,88.278767
-10.333333,2,88.292732
-10.395238,50,88.654528
-11.35,50,89.00489
29.504762,19,89.140559
-10.47381,2,89.143503
-10.547619,4,89.172082
27.611905,21,89.32702
-11.019048,50,89.683032
47.92381,3,89.710006
-10.0,1,89.716887
-11.516667,5,89.752138
-10.0,1,89.759461
-14.25,50,90.059004
-9.566667,50,90.419397
30.952381,17,90.545772
-11.0,50,90.907477
-9.859524,50,91.268486
-10.338095,2,91.277198
-11.619048,50,91.634062
-10.390476,50,91.994902
-11.369048,5,92.01357
-13.207143,50,92.330313
-11.388095,50,92.668588
-12.128571,50,93.02995
-16.316667,49,93.378347
-10.0,1,93.385555
-15.359524,44,93.703052
-11.930952,50,94.047954
-10.307143,50,94.404311
-9.92619,50,94.76728
-11.259524,50,95.127596
-14.421429,50,95.469157
-10.952381,3,95.490505
-10.535714,3,95.512146
-11.757143,50,95.85856
-10.0,1,95.865864
-10.966667,50,96.229011
43.971429,6,96.277886
-11.92619,50,96.641037
-10.638095,50,97.004399
-11.619048,50,97.368369
-10.0,1,97.375628
-12.128571,50,97.738764
41.111905,9,97.808885
12.37381,35,100.011612
42.283333,8,100.068916
-10.95,4,100.091988
-10.088095,50,100.454029
-10.37619,2,100.4681
11.147619,36,100.730208
-9.590476,50,101.091578
-9.483333,50,101.453054
-9.935714,50,101.804931
-10.157143,50,102.180869
-10.480952,50,102.539872
-3.116667,49,102.896071
-11.069048,50,103.253604
-10.87381,50,103.61748
41.121429,9,103.68732
31.116667,17,103.814572
-9.519048,50,104.177756
-10.159524,50,104.540168
26.895238,22,104.70221
-10.911905,50,105.064373
-10.62619,50,105.426793
-10.692857,4,105.44408
-10.819048,50,105.795349
-17.714286,43,106.069693
-10.966667,50,106.43278
-12.557143,50,106.79582
-11.095238,50,107.148044
-10.0,1,107.155395
11.366667,36,107.419914
-12.859524,50,107.756149
-10.164286,50,108.114851
40.928571,9,108.185266
28.738095,20,108.3283
-10.742857,50,108.686561
-11.071429,50,109.039587
-11.540476,50,109.403379
36.590476,12,109.495847
-11.911905,50,109.860411
-13.540476,23,110.014202
-11.47619,50,110.368106
35.633333,14,110.474555
-11.466667,50,110.838465
-10.083333,50,111.203005
45.209524,5,111.244602
-10.880952,50,111.592016
-11.511905,50,111.957382
-1.678571,48,112.308028
31.252381,18,112.442916
-12.17619,50,112.791296
-15.145238,34,113.03586
15.457143,31,113.264502
-9.409524,50,113.628575
-11.714286,50,113.987711
34.302381,15,114.089502
