#{"t_start": 1668888091.39069, "env_id": null}
r,l,t
-5,20,96.385623
-5,20,96.581865
-10.0,1,96.589655
13.0,8,96.678182
-10.0,1,96.684904
-5,20,96.889879
-10.0,12,96.998412
-10.0,9,97.081567
-10.0,5,97.126919
-10.0,8,97.206439
-10.0,12,97.324478
-10.0,1,97.340796
-10.0,4,97.383583
-5,20,97.580478
-5,20,97.777472
-5,20,97.974712
-10.0,1,97.983885
-10.0,7,98.047478
-10.0,3,98.075235
-10.0,13,98.205338
20.0,1,98.221663
-10.0,2,98.236328
-10.0,8,98.315999
-10.0,16,98.467791
-5,20,98.669499
-10.0,12,98.793729
-10.0,7,98.858033
8.0,13,98.986835
-10.0,4,99.023282
-10.0,9,99.110792
-5,20,99.311179
-10.0,2,99.3288-5,2-5,20,99.53408
-5,20,99.736931
-10.0,1,99.746241
-5,20,99.942415
-10.0,1,99.949488
-5,20,100.150205
-10.0,11,100.25228
-10.0,18,100.426752
-10.0,9,100.518966
-10.0,15,100.667202
20.0,1,100.683056
-10.0,5,100.728363
-10.0,13,100.860326
-10.0,5,100.903087
-5,20,101.114399
-10.0,2,101.134867
-5,20,101.336511
-5,20,101.533723
-10.0,2,101.550351
-10.0,5,101.608158
-10.0,2,101.627402-10.0,17,101.765252
-10.0,9,101.849481
-5,20,102.051033
-5,20,102.243802
-10.0,11,102.340253
-5,20,102.536001
-10.0,6,102.593737
-10.0,8,102.664679
-5,20,102.861805
-10.0,13,102.982346
-10.0,1,102.99113
-10.0,4,103.030289
-10.0,3,103.056599
13.-5,20,103.220988-10.0,13,103.262428
-5,20,103.420646
-5,20,103.613631
--5,20,103.702229
-10.0,9,103.787438
-10.0,15,103.916037
-5,20,104.11008
-10.0,7,104.174362
-5,20,104.367239
-10.0,8,104.443646
-10.0,3,104.470187
-10.0,5,104.521161
-10.0,18,104.697342
-10.0,7,104.758495
-5,20,104.949169
-10.0,19,105.122899
-10.0,12,105.231261
-10.0,15,105.376673
-10.0,11,105.47692
-5,20,105.675114
-5,20,105.87085
-10.0,6,105.928403
-10.0,6,105.9862
-10.0,9,106.073595
-5,20,106.27112
-10.0,1,106.279047
-10.0,1,106.287399
-10.0,1,106.296456
-5,20,106.509378
16.0,5,106.561984
-10.0,7,106.629343
16.0,5,106.681407
-10.0,15,106.821865
-10.0,1,106.830308
-10.0,10,106.928293
-10.0,20,107.115031
-1-5,20,107.20129
--5,20,107.340956
--5,20,107.50302
-10.0,19,107.675915
-5,20,107.874084
-10.0,11,107.973642
-5,20,108.181888
-10.0,7,108.253065
-5,20,108.457294
-10.0,1,108.463635
-5,20,108.648231
6.0,15,108.805736
-10.0,2,108.821719
-10.0,1,108.830802
-10.0,4,108.874529
-10.0,18,109.046718
-5,20,109.255799
-5,20,109.4433
-10.0,1,109.450077
-10.0,3,109.478919
-10-5,20,109.569556--5,20,109.775494
-10.0,7,109.836002
-10.0,19,110.009561
-5,20,110.224323
-10.0,2,110.240054
-10.0,18,110.409454
-10.0,20,110.603679
-10.0,7,110.673738
-10.0,3,110.701997
-5,20,110.907636
-10.0,1,110.913942
-10.0,3,110.93919
-5,20,111.140805
-10.0,10,111.229865
-10.0,3,111.257717
-10.0,9,111.349467--10.0,9,111.433466
-10.0,2,111.4-5,20,--5,20,111.662062
-10.0,5,111.706326
-5,20,111.908094
-5,20,112.1127
-10.0,12,112.233109
-10.0,3,112.266895
-10.0,15,112.403555
-5,20,112.604702
-10.0,17,112.769161
-5,20,112.975675
-10.0,9,113.062475
7.0,14,113.200384
-10.0,13,113.324106
-5,20,113.530025
-10.0,3,113.560604
-5,20,113.763199
-10.0,3,113.786381
-5,20,113.977196
-5,20,114.172926
-10.0,12,114.289418
-5,20,114.489901
-5,20,114.687411
-5,20,114.880564
-10.0,13,115.00506
-10.0,3,115.037778
-10.0,9,115.121603
-10.0,4,115.161314
-10.0,3,115.189426
-5,20,115.391746
-10.0,18,115.565628
-10.0,10,115.66337
-10.0,4,115.698575
-5,20,115.89821
-10.0,1,115.904935
-5,20,116.093809
-10.0,3,116.12017
-5,20,116.324759
-10.0,1,116.333915
-10.0,9,116.419811
-10.0,6,116.476074
-5,20,116.683694
-10.0,15,116.82579
-10.0,6,116.881798
-5,20,117.082256
-10.0,4,117.116486
-5,20,117.314547
-10.0,9,117.395743
-5,20,117.601637
8.0,13,117.734529
-5,20,117.936995
-5,20,118.138595
-10.0,11,118.242566
-5,20,118.437287
-10.0,12,118.554024
-10.0,12,118.659446
-10.0,2,118.677884
-5,20,118.872795
-10.0,14,118.994181
-10.0,2,119.018776
-5,20,119.228116
-10.0,1,119.235071
-5,20,119.428211
-10.0,15,119.57888
-10.0,12,119.697831
-5,20,119.886687
-10.0,9,119.96756
-10.0,11,120.087243
-10.0,20,120.281335
-10.0,17,120.43453
-10.0,12,120.557758
-10.0,5,120.604632
-10.0,14,120.739938
-10.0,2,120.757219
-10.0,15,120.901839
-5,20,121.103739
-10.0,2,121.118798
-5,20,121.316773
-10.0,6,121.373595
-10.0,1,121.382408
-5,20,121.585873
-5,20,121.785136
-10.0,1,121.79206
-10.0,1,121.801033
-10.0,15,121.954382
-5,20,122.152676
-5,20,122.358089
-10.0,19,122.530998
-10.0,3,122.561711
-5,20,122.765329
-10.0,10,122.855014
-5,20,123.055362
-10.0,7,123.128271
-10.0,2,123.147724
-5,20,123.348954
-5,20,123.54998
-5,20,123.746819
-10.0,4,123.786114
-10.0,6,123.845794
-5,20,124.056633
-10.0,4,124.09218
-10.0,1,124.101023
15.0,6,124.169878
-5,20,124.375915
-10.0,2,124.391597
-5,20,124.594014
-5,20,124.788406
12.0,9,124.874264
-5,20,125.07033
-10.0,13,127.096851
-10.0,2,127.169632
19.0,2,127.249141
-10.0,18,127.905047
-5,20,128.618141
-10.0,9,128.934851
-5,20,129.69253
-10.0,12,130.121677
-5,20,130.852541
-10.0,2,130.922079
-5,20,131.642663
-10.0,4,131.783195
-10.0,19,132.470781
-10.0,13,132.924797
-10.0,3,133.032305
-10.0,16,133.586937
-10.0,9,133.90-5,20,-5,20,134.60-5,20,-10.0,13,135-5,20,135-10.0,18,-5,20,136.224285
-5,20,136.943298
-5,20,137.638794
-5,20,138.338141
