#{"t_start": 1669216680.5227418, "env_id": null}
r,l,t
-10.0,19,50.516393
-10.0,8,50.562887
-10.0,2,50.574737
-10.0,11,50.638944
-10.0,14,50.720697
-10.0,15,50.808036
-10.0,8,50.854438
-10.0,11,50.918874
-5,20,51.045171
-5,20,51.167321
12.0,9,51.225768
15.0,6,51.266495
20.0,1,51.278028
-10.0,1,51.283952
-10.0,5,51.313077
-10.0,5,51.342407
-10.0,18,51.448003
-5,20,51.570465
15.0,6,51.6113
-10.0,1,51.617204
-10.0,8,51.664382
12.0,9,51.722569
17.0,4,51.751744
-10.0,4,51.775123
-10.0,4,51.798541
-5,20,51.920462
-5,20,52.042475
-10.0,5,52.078958
-10.0,3,52.096415
-10.0,4,52.119651
-10.0,13,52.196195
-10.0,1,52.202055
-10.0,15,52.289464
-10.0,2,52.301242
-10.0,3,52.318737
-10.0,6,52.353913
-10.0,7,52.395691
-10.0,6,52.43087
-10.0,1,52.436731
-10.0,7,52.477501
-10.0,6,52.512551
-10.0,3,52.530244
-10.0,13,52.60617
-10.0,3,52.623777
-10.0,14,52.705901
-10.0,7,52.746757
3.0,18,52.858135
-10.0,15,52.947026
-10.0,2,52.958754
-10.0,1,52.964573
-10.0,7,53.005303
-10.0,13,53.080998
-10.0,7,53.12165
-10.0,6,53.156664
-10.0,2,53.168272
-10.0,5,53.197419
-5,20,53.320991
-10.0,2,53.332651
-5,20,53.455173
-10.0,16,53.548355
-10.0,6,53.583157
-5,20,53.705927
6.0,15,53.79909
-10.0,5,53.828545
-10.0,3,53.846061
-10.0,5,53.875316
-5,20,53.99729
-10.0,1,54.003242
20.0,1,54.014804
-10.0,12,54.084869
-5,20,54.206819
-10.0,14,54.289341
-10.0,6,54.324664
-5,20,54.447149
-5,20,54.569486
4.0,17,54.674797
-10.0,17,54.77391
-10.0,11,54.838254
-10.0,14,54.920179
-5,20,55.042379
-5,20,55.16455
-5,20,55.286783
-10.0,1,55.292671
-5,20,55.415341
-5,20,55.537603
-10.0,11,55.602176
-10.0,20,55.718549
3.0,18,55.829286
-10.0,2,55.841045
-5,20,55.963733
-10.0,17,56.063132
-10.0,2,56.075006
-10.0,3,56.092541
-10.0,8,56.139532
-10.0,20,56.256664
-10.0,1,56.262588
-10.0,11,56.327304
-10.0,16,56.420969
-10.0,7,56.461611
3.0,18,56.572417
-5,20,56.695314
-10.0,2,56.707251
-10.0,14,56.78917
-10.0,4,56.812646
-10.0,16,56.906138
-10.0,1,56.912028
12.0,9,56.970253
-10.0,12,57.040868
4.0,17,57.145665
-10.0,1,57.15161
-10.0,6,57.186458
-10.0,11,57.250693
-10.0,3,57.268152
-10.0,1,57.274062
-10.0,12,57.343987
-10.0,17,57.443706
-10.0,1,57.449609
-5,20,57.572891
-5,20,57.695349
14.0,7,57.742148
-10.0,6,57.777259
-10.0,13,57.853394
-10.0,9,57.905929
-10.0,1,57.911807
-10.0,1,57.917685
-10.0,8,57.96429
-10.0,3,57.981851
-10.0,13,58.057672
-10.0,2,58.069458
-10.0,15,58.157393
-10.0,3,58.174898
4.0,17,58.279735
-10.0,17,58.379202
-5,20,58.50237
-10.0,4,58.525863
-10.0,13,58.60176
-10.0,7,58.642524
-10.0,3,58.659973
-5,20,58.782797
-10.0,3,58.800365
-10.0,8,58.847094
-10.0,8,58.893936
-10.0,18,58.998595
-10.0,14,59.080449
6.0,15,59.173571
-5,20,59.295695
-10.0,1,59.301579
-10.0,6,59.337869
-10.0,17,59.436772
16.0,5,59.471792
-10.0,3,59.489509
-5,20,59.612544
-10.0,14,59.694679
17.0,4,59.723751
-10.0,5,59.752923
-10.0,1,59.75895
-5,20,59.881503
-10.0,3,59.89922
-10.0,16,59.993057
-5,20,60.115623
-10.0,1,60.121583
-10.0,7,60.16246
-5,20,60.284296
-5,20,60.406538
-10.0,4,60.429775
-10.0,1,60.435696
-10.0,14,60.517573
-10.0,1,60.523462
10.0,11,60.59342
-10.0,1,60.599395
-10.0,10,60.657657
-10.0,1,60.663512
-5,20,60.785769
-10.0,9,60.83825
-10.0,2,60.849956
-5,20,60.972263
-10.0,3,60.989718
-10.0,3,61.007201
-10.0,3,61.024974
-10.0,2,61.036689
-10.0,10,61.095237
-5,20,61.217717
-10.0,10,61.275934
-10.0,16,61.368267
-10.0,4,61.391516
-5,20,61.511483
-10.0,20,61.628199
-10.0,9,61.680722
-10.0,17,61.78116
-10.0,8,61.827932
-10.0,8,61.87465
-10.0,11,61.93908
-10.0,20,62.055593
-10.0,11,62.119629
-10.0,2,62.131315
-10.0,11,62.195314
7.0,14,62.282406
-10.0,16,62.37617
-10.0,1,62.382047
-10.0,8,62.429245
-5,20,62.551409
-10.0,6,62.586857
-10.0,1,62.592745
20.0,1,62.604379
-10.0,10,62.663034
-10.0,4,62.686563
-10.0,1,62.6925
-10.0,17,62.792268
-10.0,2,62.803997
-10.0,8,62.850828
-5,20,62.973934
-10.0,10,63.032805
-10.0,10,63.091476
-10.0,5,63.12089
-10.0,8,63.167707
-10.0,9,63.220118
3.0,18,63.331299
-5,20,63.454226
-10.0,1,63.460155
-10.0,1,63.466031
-10.0,9,63.518499
-10.0,9,63.570928
-10.0,8,63.617523
-5,20,63.740162
-10.0,11,63.804878
17.0,4,63.834032
-5,20,63.956979
-5,20,64.080007
-5,20,64.202422
-10.0,1,64.208427
-5,20,64.331263
-10.0,11,64.396255
-10.0,6,64.431447
-10.0,8,64.478501
-5,20,64.601311
-10.0,19,64.711961
-10.0,12,64.781834
-10.0,1,64.787715
-10.0,13,64.863967
-10.0,3,64.881641
9.0,12,64.957272
-10.0,12,65.027185
-10.0,7,65.068374
-10.0,19,65.179727
-10.0,16,65.273512
-10.0,1,65.279397
-10.0,2,65.29109
-10.0,10,65.350503
-5,20,65.472514
-5,20,65.595697
-10.0,6,65.630708
11.0,10,65.694884
-10.0,4,65.718152
-10.0,6,65.753139
-10.0,15,65.840767
-5,20,65.963243
15.0,6,66.004098
-5,20,66.12658
-10.0,9,66.178967
-10.0,3,66.196424
-10.0,2,66.208134
-10.0,2,66.219838
3.0,18,66.330342
20.0,1,66.341889
-10.0,15,66.430107
-10.0,2,66.441765
-10.0,12,66.511678
-10.0,12,66.582355
-10.0,18,66.687258
-10.0,7,66.728082
-5,20,66.850294
-10.0,6,66.885339
-5,20,67.007815
-10.0,6,67.043169
-10.0,5,67.072297
12.0,9,67.13051
-10.0,6,67.165938
-5,20,67.287832
